institution	period	cost	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
kth	2016	2142.1	10.1016/j.apacoust.2016.04.004	TRUE	Elsevier	Applied Acoustics	0003-682X			http://dx.doi.org/10.1016/j.apacoust.2016.04.004
kth	2016	1267.00	10.1371/JOURNAL.PONE.0166149	FALSE	Public Library of Science (PLoS)	PLOS One				http://dx.doi.org/10.1371/journal.pone.0166149
kth	2016	0.00	10.3390/w8020059	FALSE	MDPI	Water			2073-4441	http://www.mdpi.com/2073-4441/8/2/59
kth	2016	0.00	10.3390/ma9030127	FALSE	MDPI	Materials			1996-1944	http://www.mdpi.com/1996-1944/9/3/127
kth	2016	1527.00	10.3390/s16030344	FALSE	MDPI	Sensors			1424-8220	http://www.mdpi.com/1424-8220/16/3/344
kth	2016	644.00	10.3390/en9050315	FALSE	MDPI	Energies			1996-1073	http://www.mdpi.com/1996-1073/9/5/315
kth	2016	919.00	10.3390/su8040388	FALSE	MDPI	Sustainability			2071-1050	http://www.mdpi.com/2071-1050/8/4/388
kth	2016	0.00	10.3390/ma9050313	FALSE	MDPI	Materials			1996-1944	http://www.mdpi.com/1996-1944/9/5/313
kth	2016	0.00	10.3390/molecules21030366	FALSE	MDPI	Molecules			1420-3049	http://www.mdpi.com/1420-3049/21/3/366
kth	2016	766.00	10.3390/catal6060090	FALSE	MDPI	Catalysts			2073-4344	http://www.mdpi.com/2073-4344/6/6/90
kth	2016	919.00	10.3390/su8060550	FALSE	MDPI	Sustainability			2071-1050	http://www.mdpi.com/2071-1050/8/6/550
kth	2016	919.00	10.3390/su8111080	FALSE	MDPI	Sustainability			2071-1050	http://www.mdpi.com/2071-1050/8/11/1080
kth	2016	766.00	10.3390/mi7080134	FALSE	MDPI	Micromachines			2072-666X	http://www.mdpi.com/2072-666X/7/8/134
kth	2016	230.00	10.3390/resources5030027	FALSE	MDPI	Resources			2079-9276	http://www.mdpi.com/2079-9276/5/3/27
kth	2016	0.00	10.3390/mi7100192	FALSE	MDPI	Micromachines			2072-666X	http://www.mdpi.com/2072-666X/7/10/192
kth	2016	1072.00	10.3390/en9121080	FALSE	MDPI	Energies			1996-1073	http://www.mdpi.com/1996-1073/9/12/1080
kth	2016	919.00	10.3390/su8121227	FALSE	MDPI	Sustainability			2071-1050	http://www.mdpi.com/2071-1050/8/12/1227
kth	2016	1072.00	10.3390/ma10010057	FALSE	MDPI	Materials			1996-1944	http://www.mdpi.com/1996-1944/10/1/57
kth	2016	1707	10.1155/2016/6279571	FALSE	Hindawi Publishing Corporation	Advances in Materials Science and Engineering		1687-8434	1687-8442	http://dx.doi.org/10.1155/2016/6279571
kth	2016	853	10.1155/2016/6735971	FALSE	Hindawi Publishing Corporation	Journal of Combustion		2090-1968	2090-1976	http://dx.doi.org/10.1155/2016/6735971
kth	2016	853	10.1155/2016/8181260	FALSE	Hindawi Publishing Corporation	Advances in Tribology		1687-5915	1687-5923	http://dx.doi.org/10.1155/2016/8181260
kth	2016	853	10.1155/2016/4729128	FALSE	Hindawi Publishing Corporation	Modelling and Simulation in Engineering		1687-5591	1687-5605	http://dx.doi.org/10.1155/2016/4729128
